Access Type,Super Admin,Admin,Engineer,Developer,Tester,Production Support
Everything,X,,,,,
....|- Modify,X,X,,,,
.......|- Remove,X,X,,,,
..|- Datastores,X,X,,,,
....|- View,X,X,,,,
.......|- List,X,X,,,,
.......|- Show,X,X,,,,
.......|- Utilization,X,X,,,,
....|- Operate,X,X,,,,
.......|- Analysis,X,X,,,,
.......|- Edit Tags,X,X,,,,
....|- Modify,X,X,,,,
.......|- Remove,X,X,,,,
..|- Repositories,X,X,,,,
....|- View,X,X,,,,
.......|- List,X,X,,,,
.......|- Show,X,X,,,,
....|- Operate,X,X,,,,
.......|- Edit Tags,X,X,,,,
.......|- Manage Policies,X,X,,,,
.......|- Refresh,X,X,,,,
....|- Modify,X,X,,,,
.......|- Add,X,X,,,,
.......|- Edit,X,X,,,,
.......|- Remove,X,X,,,,
..|- Virtual Machines,X,X,X,X,X,X
....|- Accordions,X,X,X,X,X,X
.......|- Templates,X,X,X,X,X,X
.......|- VMs,X,X,X,X,X,X
.......|- VMs & Templates,X,X,X,X,X,X
....|- Template Access Rules,X,X,X,X,X,X
.......|- View,X,X,X,X,X,X
..........|- Compare,X,X,X,X,X,X
..........|- Drift,X,X,X,X,X,X
..........|- List,X,X,X,X,X,X
..........|- Show,X,X,X,X,X,X
..........|- Timelines,X,X,X,X,X,X
..........|- Utilization,X,X,X,X,X,X
.......|- Operate,X,X,,,,
..........|- Analysis,X,X,,,,
..........|- Check Compliance,X,X,,,,
..........|- Edit Tags,X,X,,,,
..........|- Manage Policies,X,X,,,,
..........|- Policy Simulation,X,X,,,,
..........|- Refresh,X,X,,,,
..........|- Set Ownership,X,X,,,,
.......|- Modify,X,X,,,,
..........|- Clone Templates,X,X,,,,
..........|- Edit,X,X,,,,
..........|- Edit EVM Server Relationship,X,X,,,,
..........|- Remove,X,X,,,,
.......|- Snapshots,X,X,X,X,X,X
..........|- View,X,X,X,X,X,X
...........|- List,X,X,X,X,X,X
..........|- Operate,X,X,X,X,X,X
...........|- Create new Snapshots,X,X,X,X,X,X
...........|- Delete All Existing Snapshots,X,X,,,,
...........|- Delete Snapshots,X,X,,,,
...........|- Revert to selected snapshot,X,X,X,X,X,X
....|- VM Access Rules,X,X,X,X,X,X
.......|- View,X,X,X,X,X,X
..........|- Compare,X,X,X,X,X,X
..........|- Drift,X,X,X,X,X,X
..........|- List,X,X,X,X,X,X
..........|- Show,X,X,X,X,X,X
